"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
272,"Edge Kissing","A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat",2006,1,5,4.99,153,9.99,"NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'beauti':4 'boat':22 'compos':8 'cow':12 'edg':1 'jet':21 'kiss':2 'mad':11,17 'must':14 'redeem':15 'scientist':18 'yarn':5"
182,"Control Anthem","A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery",2006,1,7,4.99,185,9.99,"G","2013-05-26 14:50:58.951","{Commentaries}","'anthem':2 'battl':14 'cat':16 'control':1 'documentari':5 'fate':4 'monasteri':19 'must':13 'robot':8 'student':11"
260,"Dude Blindness","A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House",2006,1,3,4.99,132,9.99,"G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':19 'blind':2 'dude':1 'face':14 'frisbe':16 'fun':20 'hous':21 'husband':8 'lumberjack':11 'must':13 'reflect':5 'stun':4"
551,"Maiden Home","A Lacklusture Saga of a Moose And a Teacher who must Kill a Forensic Psychologist in A MySQL Convention",2006,1,3,4.99,138,9.99,"PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'convent':21 'forens':16 'home':2 'kill':14 'lacklustur':4 'maiden':1 'moos':8 'must':13 'mysql':20 'psychologist':17 'saga':5 'teacher':11"
150,"Cider Desire","A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia",2006,1,7,2.99,101,9.99,"PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'cat':18 'charact':5 'cider':1 'compos':9 'cow':13 'desir':2 'georgia':21 'mad':12 'must':15 'soviet':20 'studi':6 'stun':4 'succumb':16"
23,"Anaconda Confessions","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia",2006,1,3,0.99,92,9.99,"R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'anaconda':1 'australia':18 'confess':2 'dentist':8,11 'display':5 'fight':14 'girl':16 'lacklustur':4 'must':13"
281,"Encino Elf","A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon",2006,1,6,0.99,143,9.99,"G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'astound':4 'baloon':19 'confront':14 'drama':5 'elf':2 'encino':1 'feminist':8 'husband':16 'must':13 'teacher':11"
299,"Factory Dragon","A Action-Packed Saga of a Teacher And a Frisbee who must Escape a Lumberjack in The Sahara Desert",2006,1,4,0.99,144,9.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'action':5 'action-pack':4 'desert':22 'dragon':2 'escap':16 'factori':1 'frisbe':13 'lumberjack':18 'must':15 'pack':6 'saga':7 'sahara':21 'teacher':10"
203,"Daisy Menagerie","A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India",2006,1,5,4.99,84,9.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':21 'chef':11 'compos':19 'daisi':1 'fast':5 'fast-pac':4 'india':22 'menageri':2 'monkey':14 'must':16 'pace':6 'pastri':10 'saga':7 'sink':17"
623,"Newton Labyrinth","A Intrepid Character Study of a Moose And a Waitress who must Find a A Shark in Ancient India",2006,1,4,0.99,75,9.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ancient':20 'charact':5 'find':15 'india':21 'intrepid':4 'labyrinth':2 'moos':9 'must':14 'newton':1 'shark':18 'studi':6 'waitress':12"
